Rank,Title,Author,Rating_raw,Score_raw,Link,Description,Genre_list,Page_raw,Publication_raw,CurrentlyRead_raw,toRead_raw,AuthorStats_raw,Rating5_raw,Rating4_raw,Rating3_raw,Rating2_raw,Rating1_raw
802,The Sirens of Titan,Kurt Vonnegut Jr.," 4.15 avg rating — 152,052 ratings","score: 12,611",https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan,"The Sirens of Titan is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there's a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tell.","[{'Genre_list': 'Fiction'}, {'Genre_list': 'Science Fiction'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Humor'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Novels'}]","224 pages, Paperback","First published January 1, 1959",4907 people are currently reading,118227 people want to read,650 books35.9k followers,"63,356 (41%)","56,464 (37%)","25,414 (16%)","5,295 (3%)","1,522 (1%)"
803,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares," 3.85 avg rating — 725,075 ratings","score: 12,600",https://www.goodreads.com/book/show/452306.The_Sisterhood_of_the_Traveling_Pants,"Carmen got the jeans at a thrift shop. They didn’t look all that great: they were worn, dirty, and speckled with bleach. On the night before she and her friends part for the summer, Carmen decides to toss them. But Tibby says they’re great. She'd love to have them. Lena and Bridget also think they’re fabulous. Lena decides that they should all try them on. Whoever they fit best will get them. Nobody knows why, but the pants fit everyone perfectly. Even Carmen (who never thinks she looks good in anything) thinks she looks good in the pants. Over a few bags of cheese puffs, they decide to form a sisterhood and take the vow of the Sisterhood of the Traveling Pants . . . the next morning, they say good-bye. And then the journey of the pants — and the most memorable summer of their lives — begins.","[{'Genre_list': 'Young Adult'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Chick Lit'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Teen'}, {'Genre_list': 'Realistic Fiction'}]","294 pages, Hardcover","First published September 11, 2001",2740 people are currently reading,178559 people want to read,"68 books4,926 followers","229,105 (31%)","241,650 (33%)","187,646 (25%)","48,910 (6%)","17,764 (2%)"
804,Cosmos,Carl Sagan," 4.40 avg rating — 154,408 ratings","score: 12,564",https://www.goodreads.com/book/show/55030.Cosmos,"This visually stunning book with over 250 full-color illustrations, many of them never before published, is based on Carl Sagan’s thirteen-part television series. Told with Sagan’s remarkable ability to make scientific ideas both comprehensible and exciting, Cosmos is about science in its broadest human context, how science and civilization grew up together.The book also explores spacecraft missions of discovery of the nearby planets, the research in the Library of ancient Alexandria, the human brain, Egyptian hieroglyphics, the origin of life, the death of the Sun, the evolution of galaxies and the origins of matter, suns and worlds.Sagan retraces the fifteen billion years of cos-mic evolution that have transformed matter into life and consciousness, enabling the Cosmos to wonder about itself. He considers the latest findings on life elsewhere and how we might communicate with the beings of other worlds.Cosmos is the story of our long journey of discovery and the forces and individuals who helped to shape modern science, including Democritus, Hypatia, Kepler, Newton, Huy-gens, Champollion, Lowell and Humason. Sagan looks at our planet from an extra-terrestrial vantage point and sees a blue jewel-like world, inhabited by a lifeform that is just beginning to discover its own unity and to ven-ture into the vast ocean of space.","[{'Genre_list': 'Science'}, {'Genre_list': 'Nonfiction'}, {'Genre_list': 'Astronomy'}, {'Genre_list': 'Physics'}, {'Genre_list': 'History'}, {'Genre_list': 'Space'}, {'Genre_list': 'Philosophy'}]","384 pages, Mass Market Paperback","First published January 1, 1980",11098 people are currently reading,250271 people want to read,167 books12.4k followers,"92,065 (59%)","41,052 (26%)","14,933 (9%)","3,625 (2%)","2,734 (1%)"
805,"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward," 4.31 avg rating — 138,530 ratings","score: 12,557",https://www.goodreads.com/book/show/304027.Lover_Unbound,"The ruthless and brilliant brother Vishous possesses a destructive curse and a frightening ability to see the future. As a member of the Brotherhood, he has no interest in love or emotion, only the battle with the Lessening Society. But when a mortal injury puts him in the care of a human surgeon, Dr. Jane Whitcomb compels him to reveal his inner pain and taste true pleasure for the first time-until a destiny he didn't choose takes him into a future that does not include her...","[{'Genre_list': 'Romance'}, {'Genre_list': 'Paranormal'}, {'Genre_list': 'Paranormal Romance'}, {'Genre_list': 'Vampires'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Urban Fantasy'}, {'Genre_list': 'Adult'}]","528 pages, Mass Market Paperback","First published September 25, 2007",2028 people are currently reading,32824 people want to read,216 books51.4k followers,"72,525 (52%)","42,460 (30%)","18,802 (13%)","3,653 (2%)","1,090 (<1%)"
806,Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown," 4.26 avg rating — 98,726 ratings","score: 12,540",https://www.goodreads.com/book/show/76401.Bury_My_Heart_at_Wounded_Knee,"Now a special 30th-anniversary edition in both hardcover and paperback, the classic bestselling history The New York Times called ""Original, remarkable, and finally heartbreaking...Impossible to put down.""Bury My Heart at Wounded Knee is Dee Brown's eloquent, fully documented account of the systematic destruction of the American Indian during the second half of the nineteenth century. A national bestseller in hardcover for more than a year after its initial publication, it has sold almost four million copies and has been translated into seventeen languages. For this elegant thirtieth-anniversary edition—published in both hardcover and paperback—Brown has contributed an incisive new preface.Using council records, autobiographies, and firsthand descriptions, Brown allows the great chiefs and warriors of the Dakota, Ute, Sioux, Cheyenne, and other tribes to tell us in their own words of the battles, massacres, and broken treaties that finally left them demoralized and defeated. A unique and disturbing narrative told with force and clarity, Bury My Heart at Wounded Knee changed forever our vision of how the West was really won.","[{'Genre_list': 'History'}, {'Genre_list': 'Nonfiction'}, {'Genre_list': 'Native American'}, {'Genre_list': 'American History'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Historical'}, {'Genre_list': 'Indigenous'}]","509 pages, Paperback","First published April 1, 1970",15269 people are currently reading,235244 people want to read,86 books396 followers,"49,442 (50%)","31,970 (32%)","12,424 (12%)","2,952 (2%)","1,938 (1%)"
807,The Very Secret Society of Irregular Witches,Sangu Mandanna," 4.06 avg rating — 296,659 ratings","score: 12,539",https://www.goodreads.com/book/show/60018635-the-very-secret-society-of-irregular-witches,"A warm and uplifting novel about an isolated witch whose opportunity to embrace a quirky new family--and a new love--changes the course of her life.As one of the few witches in Britain, Mika Moon knows she has to hide her magic, keep her head down, and stay away from other witches so their powers don't mingle and draw attention. And as an orphan who lost her parents at a young age and was raised by strangers, she's used to being alone and she follows the rules...with one exception: an online account, where she posts videos pretending to be a witch. She thinks no one will take it seriously.But someone does. An unexpected message arrives, begging her to travel to the remote and mysterious Nowhere House to teach three young witches how to control their magic. It breaks all of the rules, but Mika goes anyway, and is immediately tangled up in the lives and secrets of not only her three charges, but also an absent archaeologist, a retired actor, two long-suffering caretakers, and...Jamie. The handsome and prickly librarian of Nowhere House would do anything to protect the children, and as far as he's concerned, a stranger like Mika is a threat. An irritatingly appealing threat.As Mika begins to find her place at Nowhere House, the thought of belonging somewhere begins to feel like a real possibility. But magic isn't the only danger in the world, and when a threat comes knocking at their door, Mika will need to decide whether to risk everything to protect a found family she didn't know she was looking for....","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Audiobook'}, {'Genre_list': 'Witches'}, {'Genre_list': 'Cozy'}, {'Genre_list': 'Contemporary'}]","318 pages, Paperback","First published August 23, 2022",12019 people are currently reading,465263 people want to read,"24 books5,394 followers","96,358 (32%)","133,145 (44%)","56,675 (19%)","8,845 (2%)","1,634 (<1%)"
808,The Agony and the Ecstasy,Irving Stone," 4.09 avg rating — 93,225 ratings","score: 12,502",https://www.goodreads.com/book/show/321552.The_Agony_and_the_Ecstasy,"Celebrating the 500th anniversary of Michelangelo’s David, New American Library releases a special edition of Irving Stone’s classic biographical novel—in which both the artist and the man are brought to life in full. A masterpiece in its own right, this novel offers a compelling portrait of Michelangelo’s dangerous, impassioned loves, and the God-driven fury from which he wrested the greatest art the world has ever known.","[{'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Art'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Italy'}, {'Genre_list': 'Historical'}, {'Genre_list': 'Art History'}]","776 pages, Mass Market Paperback","First published January 1, 1961",1964 people are currently reading,90387 people want to read,"150 books1,382 followers","41,649 (44%)","29,397 (31%)","14,677 (15%)","4,221 (4%)","3,281 (3%)"
809,"Odd Thomas (Odd Thomas, #1)",Dean Koontz," 3.99 avg rating — 273,808 ratings","score: 12,488",https://www.goodreads.com/book/show/14995.Odd_Thomas,"He's Odd. Odd Thomas, to be precise. Genius fry-cook at the Pico Mundo Grill; boyfriend to the gorgeous Stormy Llewellyn - and possibly the only person with a chance of stopping one of the worst crimes in the bloody history of murder...Something evil has come to the desert town that Odd and Stormy call home. It comes in the form of a mysterious man with a macabre appetite, a filing cabinet full of information on the world's worst killers, and strange, hyena-like shadows following him wherever he goes. Odd is worried. He knows things, sees things - about the living, the dead, and the soon-to-be dead. Things that he has to act on. Now he's terrified for Stormy, himself and Pico Mundo. Because he knows that on Wednesday August 15, a savage, blood-soaked whirlwind of violence and murder will devastate the town...Today is August 14.And Odd is far from sure he can stop the coming storm...","[{'Genre_list': 'Horror'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Mystery'}, {'Genre_list': 'Thriller'}, {'Genre_list': 'Paranormal'}, {'Genre_list': 'Supernatural'}]","446 pages, Paperback","First published January 1, 2003",5173 people are currently reading,107816 people want to read,940 books38.7k followers,"112,378 (41%)","86,106 (31%)","48,263 (17%)","15,050 (5%)","12,011 (4%)"
810,Under the Dome,Stephen        King," 3.93 avg rating — 315,364 ratings","score: 12,483",https://www.goodreads.com/book/show/6320534-under-the-dome,"Under the Dome is the story of the small town of Chester's Mill, Maine which is inexplicably and suddenly sealed off from the rest of the world by an invisible force field. No one can get in and no one can get out. When food, electricity and water run short, the normal rules of society are changed. A new and more sinister social order develops, Dale Barbara, a young Iraq veteran, teams up with a handful of intrepid citizens to fight against the corruption that is sweeping through the town and to try to discover the source of the Dome before it is too late...","[{'Genre_list': 'Horror'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Science Fiction'}, {'Genre_list': 'Thriller'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Mystery'}, {'Genre_list': 'Audiobook'}]","1074 pages, Hardcover","First published January 1, 2009",13334 people are currently reading,241665 people want to read,"2,573 books872k followers","104,379 (33%)","116,947 (37%)","67,774 (21%)","19,071 (6%)","7,192 (2%)"
811,"Tears of Tess (Monsters in the Dark, #1)",Pepper Winters," 3.99 avg rating — 41,804 ratings","score: 12,472",https://www.goodreads.com/book/show/18134894-tears-of-tess,"“My life was complete. Happy, content, everything neat and perfect.Then it all changed.I was sold.”Tess Snow has everything she ever wanted: one more semester before a career in property development, a loving boyfriend, and a future dazzling bright with possibility. For their two year anniversary, Brax surprises Tess with a romantic trip to Mexico. Sandy beaches, delicious cocktails, and soul-connecting sex set the mood for a wonderful holiday. With a full heart, and looking forward to a passion filled week, Tess is on top of the world.But lusty paradise is shattered.Kidnapped. Drugged. Stolen. Tess is forced into a world full of darkness and terror. Captive and alone with no savior, no lover, no faith, no future, Tess evolves from terrified girl to fierce fighter. But no matter her strength, it can’t save her from the horror of being sold.Can Brax find Tess before she’s broken and ruined, or will Tess’s new owner change her life forever?A New Adult Dark Contemporary Romance, not suitable for people sensitive to grief, slavery, and nonconsensual sex. A story about finding love in the strangest of places, a will of iron that grows from necessity, and forgiveness that may not be enough.","[{'Genre_list': 'Dark'}, {'Genre_list': 'Dark Romance'}, {'Genre_list': 'Romance'}, {'Genre_list': 'BDSM'}, {'Genre_list': 'Erotica'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Abuse'}]","376 pages, Paperback","First published August 30, 2013",3776 people are currently reading,42312 people want to read,94 books16.8k followers,"17,113 (40%)","13,155 (31%)","7,238 (17%)","2,663 (6%)","1,635 (3%)"
812,"It Ain't Me, Babe (Hades Hangmen, #1)",Tillie Cole," 4.04 avg rating — 55,410 ratings","score: 12,416",https://www.goodreads.com/book/show/22020052-it-ain-t-me-babe,"Sinning never felt so good… A fortuitous encounter. A meeting that should never have happened. Many years ago, two children from completely different worlds forged a connection, a fateful connection, an unbreakable bond that would change their lives forever… Salome knows only one way to live—under Prophet David’s rule. In the commune she calls home, Salome knows nothing of life beyond her strict faith, nor of life beyond the Fence—the fence that cages her, keeps her trapped in an endless cycle of misery. A life she believes she is destined to always lead, until a horrific event sets her free. Fleeing the absolute safety of all she has ever known, Salome is thrust into the world outside, a frightening world full of uncertainty and sin; into the protective arms of a person she believed she would never see again. River ‘Styx’ Nash knows one thing for certain in life—he was born and bred to wear a cut. Raised in a turbulent world of sex, Harleys, and drugs, Styx, unexpectedly has the heavy burden of the Hades Hangmen gavel thrust upon him, and all at the ripe old age of twenty-six—much to his rivals’ delight. Haunted by a crushing speech impediment, Styx quickly learns to deal with his haters. Powerful fists, an iron jaw and the skillful use of his treasured German blade has earned him a fearsome reputation as a man not to be messed with in the shadowy world of outlaw MC’s. A reputation that successfully keeps most people far, far away. Styx has one rule in life—never let anyone get too close. It’s a plan that he has stuck to for years, that is, until a young woman is found injured on his lot… a woman who looks uncannily familiar, a woman who clearly does not belong in his world, yet a woman he feels reluctant to let go…The Hades Hangmen series has been taken down from Amazon and is no longer for sale.","[{'Genre_list': 'Romance'}, {'Genre_list': 'Dark Romance'}, {'Genre_list': 'Dark'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Abuse'}, {'Genre_list': 'Contemporary Romance'}, {'Genre_list': 'New Adult'}]","466 pages, Kindle Edition","First published April 26, 2014",3003 people are currently reading,56347 people want to read,53 books25.2k followers,"23,483 (42%)","17,747 (32%)","9,164 (16%)","3,079 (5%)","1,938 (3%)"
813,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt," 4.01 avg rating — 881,359 ratings","score: 12,407",https://www.goodreads.com/book/show/1202.Freakonomics,"Which is more dangerous, a gun or a swimming pool? What do schoolteachers and sumo wrestlers have in common? Why do drug dealers still live with their moms? How much do parents really matter? What kind of impact did Roe v. Wade have on violent crime? Freakonomics will literally redefine the way we view the modern world.These may not sound like typical questions for an economist to ask. But Steven D. Levitt is not a typical economist. He is a much heralded scholar who studies the stuff and riddles of everyday life -- from cheating and crime to sports and child rearing -- and whose conclusions regularly turn the conventional wisdom on its head. He usually begins with a mountain of data and a simple, unasked question. Some of these questions concern life-and-death issues; others have an admittedly freakish quality. Thus the new field of study contained in this book: freakonomics.Through forceful storytelling and wry insight, Levitt and co-author Stephen J. Dubner show that economics is, at root, the study of incentives -- how people get what they want, or need, especially when other people want or need the same thing. In Freakonomics, they set out to explore the hidden side of ... well, everything. The inner workings of a crack gang. The truth about real-estate agents. The myths of campaign finance. The telltale marks of a cheating schoolteacher. The secrets of the Ku Klux Klan.What unites all these stories is a belief that the modern world, despite a surfeit of obfuscation, complication, and downright deceit, is not impenetrable, is not unknowable, and -- if the right questions are asked -- is even more intriguing than we think. All it takes is a new way of looking. Steven Levitt, through devilishly clever and clear-eyed thinking, shows how to see through all the clutter.Freakonomics establishes this unconventional premise: If morality represents how we would like the world to work, then economics represents how it actually does work. It is true that readers of this book will be armed with enough riddles and stories to last a thousand cocktail parties. But Freakonomics can provide more than that. It will literally redefine the way we view the modern world.(front flap)","[{'Genre_list': 'Nonfiction'}, {'Genre_list': 'Economics'}, {'Genre_list': 'Business'}, {'Genre_list': 'Science'}, {'Genre_list': 'Psychology'}, {'Genre_list': 'Sociology'}, {'Genre_list': 'Finance'}]","268 pages, Hardcover","First published April 12, 2005",17574 people are currently reading,577715 people want to read,"30 books4,124 followers","321,629 (36%)","330,845 (37%)","167,429 (18%)","39,490 (4%)","21,966 (2%)"
814,Project Hail Mary,Andy Weir," 4.50 avg rating — 798,321 ratings","score: 12,328",https://www.goodreads.com/book/show/54493401-project-hail-mary,"Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish.Except that right now, he doesn’t know that. He can’t even remember his own name, let alone the nature of his assignment or how to complete it.All he knows is that he’s been asleep for a very, very long time. And he’s just been awakened to find himself millions of miles from home, with nothing but two corpses for company.His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it’s up to him to puzzle out an impossible scientific mystery—and conquer an extinction-level threat to our species.And with the clock ticking down and the nearest human being light-years away, he’s got to do it all alone.Or does he?","[{'Genre_list': 'Science Fiction'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Audiobook'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Space'}, {'Genre_list': 'Thriller'}]","476 pages, Hardcover","First published May 4, 2021",54002 people are currently reading,770575 people want to read,51 books58k followers,"498,628 (62%)","222,033 (27%)","60,725 (7%)","12,752 (1%)","4,183 (<1%)"
815,Veronika Decides to Die,Paulo Coelho," 3.73 avg rating — 235,072 ratings","score: 12,304",https://www.goodreads.com/book/show/1431.Veronika_Decides_to_Die,"In his latest international bestseller, the celebrated author of The Alchemist addresses the fundamental questions asked by millions: What am I doing here today? and Why do I go on living?Twenty-four-year-old Veronika seems to have everything she could wish for: youth and beauty, plenty of attractive boyfriends, a fulfilling job, and a loving family. Yet something is lacking in her life. Inside her is a void so deep that nothing could possibly ever fill it. So, on the morning of November 11, 1997, Veronika decides to die. She takes a handful of sleeping pills expecting never to wake up.Naturally Veronika is stunned when she does wake up at Villete, a local mental hospital, where the staff informs her that she has, in fact, partially succeeded in achieving her goal. While the overdose didn't kill Veronika immediately, the medication has damaged her heart so severely that she has only days to live.The story follows Veronika through the intense week of self-discovery that ensues. To her surprise, Veronika finds herself drawn to the confinement of Villete and its patients, who, each in his or her individual way, reflect the heart of human experience. In the heightened state of life's final moments, Veronika discovers things she has never really allowed herself to feel before: hatred, fear, curiosity, love, and sexual awakening. She finds that every second of her existence is a choice between living and dying, and at the eleventh hour emerges more open to life than ever before.In Veronika Decides to Die, Paulo Coelho takes the reader on a distinctly modern quest to find meaning in a culture overshadowed by angst, soulless routine, and pervasive conformity. Based on events in Coelho's own life, Veronika Decides to Die questions the meaning of madness and celebrates individuals who do not fit into patterns society considers to be normal. Poignant and illuminating, it is a dazzling portrait of a young woman at the crossroads of despair and liberation, and a poetic, exuberant appreciation of each day as a renewed opportunity.","[{'Genre_list': 'Fiction'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Philosophy'}, {'Genre_list': 'Novels'}, {'Genre_list': 'Psychology'}, {'Genre_list': 'Mental Health'}, {'Genre_list': 'Romance'}]","285 pages, Paperback","First published January 1, 1998",7148 people are currently reading,103099 people want to read,401 books137k followers,"65,135 (27%)","79,857 (33%)","60,954 (25%)","20,625 (8%)","8,502 (3%)"
816,How to Win Friends & Influence People,Dale Carnegie," 4.22 avg rating — 1,096,733 ratings","score: 12,235",https://www.goodreads.com/book/show/4865.How_to_Win_Friends_Influence_People,"You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!Since its release in 1936, How to Win Friends and Influence People has sold more than 30 million copies. Dale Carnegie's first book is a timeless bestseller, packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age.Learn the six ways to make people like you, the twelve ways to win people to your way of thinking, and the nine ways to change people without arousing resentment.","[{'Genre_list': 'Self Help'}, {'Genre_list': 'Nonfiction'}, {'Genre_list': 'Business'}, {'Genre_list': 'Psychology'}, {'Genre_list': 'Personal Development'}, {'Genre_list': 'Leadership'}, {'Genre_list': 'Communication'}]","288 pages, Paperback","First published October 1, 1936",88861 people are currently reading,1263055 people want to read,"1,355 books8,731 followers","559,000 (50%)","314,804 (28%)","155,587 (14%)","42,944 (3%)","24,389 (2%)"
817,The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.," 4.24 avg rating — 89,411 ratings","score: 12,234",https://www.goodreads.com/book/show/323355.The_Book_of_Mormon,"From the Introduction:The Book of Mormon is a volume of holy scripture comparable to the Bible. It is a record of God's dealings with the ancient inhabitants of the Americas and contains, as does the Bible, the fulness of the everlasting gospel.The book was written by many ancient prophets by the spirit of prophecy and revelation. Their words, written on gold plates, were quoted and abridged by a prophet-historian named Mormon. The record gives an account of two great civilizations. One came from Jerusalem in 600 B.C., and afterward separated into two nations, known as the Nephites and the Lamanites. The other came much earlier when the Lord confounded the tongues at the Tower of Babel. Thsi group is known as the Jaredites. After thousands of years, all were destroyed except the Lamanites, and they are the principal ancestors of the American Indians.The crowning event recorded in the Book of Mormon is the personal ministry of the Lord Jesus Christ among the Nephites soon after his resurrection. It puts forth the doctrines of the gospel, outlines the plan of salvation, and tells men what they must do to gain peace in this life and eternal salvation in the life to come.After Mormon completed his writings, he delivered the account to his son Moroni, who added a few words of his own and hid up the plates in the hill Cumorah. On September 21, 1823, the same Moroni, the a glorified, resurrected being, appeared to the Prophet Joseph Smith and instructed him relative to the ancient record and its destined translation into the English language.In due course the plates were delivered to Joseph Smith, who translated them by the gift and power of God. The record is now published in many languages as a new and additional witness that Jesus Christ is the Son of the living God and that all who will come unto him and obey the laws and ordinances of his gospel may be saved.Concerning this record the Prophet Joseph Smith said: ""I told the brethren that the Book of Mormon was the most correct of any book on earth, and the keystone of our religion, and a man would get nearer to God by abiding by its precepts, than by any other book.""In addition to Joseph Smith, the Lord provided for eleven others to see the gold plates for themselves and to be special witnesses of the truth and divinity of the Book of Mormon. Their written testimonies are included herewith as ""The Testimony of Three Witnesses"" and ""The Testimony of Eight Witnesses.""We invite all men everywhere to read the Book of Mormon, to ponder in their hearts the message it contains, and then to ask God, the Eternal Father, in the name of Christ if the book is true. Those who pursue this course an ask in faith will gain a testimony of its truth and divinity by the power of the Holy Ghost. (See Moroni 10: 3-5)Those who gain this divine witness from the Holy Spirit will also come to know by the same power that Jesus Christ is the Savior of the world, that Joseph Smith is his revelator and prophet in these last days, and that The Church of Jesus Christ of Latter-day Saints is the Lord's kingdom once again established on the earth, preparatory to the second coming of the Messiah.","[{'Genre_list': 'Religion'}, {'Genre_list': 'Nonfiction'}, {'Genre_list': 'Lds'}, {'Genre_list': 'Church'}, {'Genre_list': 'Spirituality'}, {'Genre_list': 'History'}, {'Genre_list': 'Classics'}]","531 pages, Paperback","First published March 26, 1830",9362 people are currently reading,27663 people want to read,643 books278 followers,"67,345 (75%)","3,070 (3%)","3,618 (4%)","3,543 (3%)","11,835 (13%)"
818,On Writing: A Memoir of the Craft,Stephen        King," 4.34 avg rating — 306,723 ratings","score: 12,194",https://www.goodreads.com/book/show/10569.On_Writing,"""Long live the King"" hailed Entertainment Weekly upon the publication of Stephen King's On Writing. Part memoir, part master class by one of the bestselling authors of all time, this superb volume is a revealing and practical view of the writer's craft, comprising the basic tools of the trade every writer must have. King's advice is grounded in his vivid memories from childhood through his emergence as a writer, from his struggling early career to his widely reported near-fatal accident in 1999 -- and how the inextricable link between writing and living spurred his recovery. Brilliantly structured, friendly and inspiring, On Writing will empower and entertain everyone who reads it -- fans, writers, and anyone who loves a great story well told.(back cover)","[{'Genre_list': 'Nonfiction'}, {'Genre_list': 'Writing'}, {'Genre_list': 'Memoir'}, {'Genre_list': 'Biography'}, {'Genre_list': 'Audiobook'}, {'Genre_list': 'Reference'}, {'Genre_list': 'Autobiography'}]","320 pages, Mass Market Paperback","First published June 2, 2000",17696 people are currently reading,309230 people want to read,"2,573 books872k followers","160,454 (52%)","102,571 (33%)","34,032 (11%)","6,424 (2%)","3,242 (1%)"
819,A Heartbreaking Work of Staggering Genius,Dave Eggers," 3.69 avg rating — 182,366 ratings","score: 12,176",https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius,"A book that redefines both family and narrative for the twenty-first century. A Heartbreaking Work of Staggering Genius is the moving memoir of a college senior who, in the space of five weeks, loses both of his parents to cancer and inherits his eight-year-old brother. Here is an exhilarating debut that manages to be simultaneously hilarious and wildly inventive as well as a deeply heartfelt story of the love that holds a family together.A Heartbreaking Work of Staggering Genius is an instant classic that will be read for decades to come.","[{'Genre_list': 'Fiction'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Humor'}, {'Genre_list': 'Novels'}, {'Genre_list': 'Biography Memoir'}]","530 pages, Paperback","First published February 17, 2000",4154 people are currently reading,100411 people want to read,"340 books9,252 followers","51,589 (28%)","60,326 (33%)","42,336 (23%)","18,501 (10%)","9,614 (5%)"
820,Corelli’s Mandolin,Louis de Bernières," 4.03 avg rating — 91,137 ratings","score: 12,140",https://www.goodreads.com/book/show/3388.Corelli_s_Mandolin,"Captain Corelli’s Mandolin is set in the early days of the second world war, before Benito Mussolini invaded Greece. Dr Iannis practices medicine on the island of Cephalonia, accompanied by his daughter, Pelagia, to whom he imparts much of his healing art. Even when the Italians do invade, life isn’t so bad—at first anyway. The officer in command of the Italian garrison is the cultured Captain Antonio Corelli, who responds to a Nazi greeting of “Heil Hitler” with his own “Heil Puccini”, and whose most precious possession is his mandolin. It isn't long before Corelli and Pelagia are involved in a heated affair--despite her engagement to a young fisherman, Mandras, who has gone off to join Greek partisans. Love is complicated enough in wartime, even when the lovers are on the same side. And for Corelli and Pelagia, it becomes increasingly difficult to negotiate the minefield of allegiances, both personal and political, as all around them atrocities mount, former friends become enemies and the ugliness of war infects everyone it touches. British author Louis de Bernières is well known for his forays into magical realism in such novels as The War of Don Emmanuel's Nether Parts, Señor Vivo and the Coca Lord and The Troublesome Offspring of Cardinal Guzman. Here he keeps it to a minimum, though certainly the secondary characters with whom he populates his island—the drunken priest, the strongman, the fisherman who swims with dolphins—would be at home in any of his wildly imaginative Latin American fictions. Instead, de Bernières seems interested in dissecting the nature of history as he tells his ever-darkening tale from many different perspectives. Captain Corelli’s Mandolin works on many levels, as a love story, a war story and a deconstruction of just what determines the facts that make it into the history books.","[{'Genre_list': 'Fiction'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Classics'}, {'Genre_list': 'War'}, {'Genre_list': 'Greece'}, {'Genre_list': 'Historical'}]","437 pages, Paperback","First published January 1, 1994",2248 people are currently reading,48557 people want to read,"75 books2,073 followers","35,128 (38%)","32,596 (35%)","16,512 (18%)","4,783 (5%)","2,118 (2%)"
821,"Inara (Godfrey Davis, #3)",A.R. Merrydew," 4.36 avg rating — 6,465 ratings","score: 12,097",https://www.goodreads.com/book/show/215186841-inara,"The third book in the series, ‘Inara’, prepares the reader for the aftermath of Godfrey, and his friends success in defeating the Mainframe. With it’s iron grip choked out of existence, Tarquin’s control over the androids had been removed forever.But the death of a human subsequently gave rise to the question. Would the masses ever trust Artificial Intelligence again?When Nine and the other androids voted to leave Llar behind, the rioting started shortly after their departure. Where it would lead to was anyone’s guess.Except for one man, and an ethereal green hologram in the Grand Plaza.As Godfrey reflected on his excursion into the future, he knew. And there was nothing he could do to stop it. While the old hologram stood and watched the hoards destroying their heritage, the clock was ticking.Time was running out.","[{'Genre_list': 'Novels'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'Space'}, {'Genre_list': 'Science Fiction Fantasy'}, {'Genre_list': 'Science Fiction'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Teen'}]","351 pages, Kindle Edition","First published June 23, 2024",2 people are currently reading,25938 people want to read,"7 books2,352 followers","3,078 (47%)","2,912 (45%)",244 (3%),160 (2%),71 (1%)
